time(sec)	intensity(nT)
9255.5	52441.3	
9255.0	52434.4	
9254.5	52421.4	
9254.0	52410.4	
9253.5	52405.9	
9253.0	52407.6	
9252.5	52410.1	
9252.0	52399.2	
9251.5	52395.8	
9251.0	52392.6	
9250.5	52379.3	
9250.0	52359.1	
9249.5	52327.8	
9249.0	52302.9	
9248.5	52292.8	
9248.0	52280.4	
9247.5	52271.1	
9247.0	52264.7	
9246.5	52276.0	
9246.0	52285.3	
9245.5	52292.0	
9245.0	52303.5	
9244.5	52317.1	
9244.0	52339.2	
9243.5	52357.5	
9243.0	52366.7	
9242.5	52363.5	
9242.0	52348.9	
9241.5	52332.8	
9241.0	52309.4	
9240.5	52277.9	
9240.0	52235.3	
9239.5	52156.6	
9239.0	52126.1	
9238.5	52125.7	
9238.0	52097.9	
9237.5	52105.9	
9237.0	52087.7	
9236.5	52040.0	
9236.0	52032.1	
9235.5	52047.9	
9235.0	52096.4	
9234.5	52145.9	
9234.0	52180.2	
9233.5	52231.0	
9233.0	52246.8	
9232.5	52261.0	
9232.0	52309.1	
9231.5	52319.3	
9231.0	52310.6	
9230.5	52305.9	
9230.0	52303.6	
9229.5	52314.7	
9229.0	52331.8	
9228.5	52357.1	
9228.0	52380.0	
9227.5	52387.0	
9227.0	52364.3	
9226.5	52339.7	
9226.0	52309.0	
9225.5	52254.4	
9225.0	52234.1	
9224.5	52242.8	
9224.0	52265.4	
9223.5	52306.1	
9223.0	52354.2	
9222.5	52384.4	
9222.0	52380.8	
9221.5	52400.3	
9221.0	52443.0	
9220.5	52469.0	
9220.0	52475.6	
9219.5	52468.0	
9219.0	52452.0	
9218.5	52449.0	
9218.0	52456.3	
9217.5	52464.4	
9217.0	52514.7	
9216.5	52558.8	
9216.0	52571.7	
9215.5	52595.1	
9215.0	52660.5	
9214.5	52668.9	
9214.0	52662.3	
9213.5	52681.0	
9213.0	52691.7	
9212.5	52680.1	
9212.0	52701.2	
9211.5	52713.6	
9211.0	52708.9	
9210.5	52714.7	
9210.0	52712.2	
9209.5	52694.6	
9209.0	52665.6	
9208.5	52627.9	
9208.0	52612.5	
9207.5	52584.5	
9207.0	52570.5	
9206.5	52576.0	
9206.0	52581.8	
9205.5	52584.2	
9205.0	52585.6	
9204.5	52589.6	
9204.0	52591.1	
9203.5	52591.0	
9203.0	52596.8	
9202.5	52609.8	
9202.0	52615.9	
9201.5	52611.6	
9201.0	52603.5	
9200.5	52586.2	
9200.0	52558.6	
9199.5	52530.7	
9199.0	52532.7	
9198.5	52535.7	
9198.0	52546.8	
9197.5	52571.9	
9197.0	52590.5	
9196.5	52592.8	
9196.0	52597.4	
9195.5	52599.4	
9195.0	52597.9	
9194.5	52594.9	
9194.0	52596.5	
9193.5	52600.4	
9193.0	52598.9	
9192.5	52594.2	
9192.0	52581.8	
9191.5	52580.4	
9191.0	52580.1	
9190.5	52579.1	
9190.0	52579.8	
9189.5	52582.6	
9189.0	52579.5	
9188.5	52581.9	
9188.0	52604.2	
9187.5	52606.7	
9187.0	52587.7	
9186.5	52576.3	
9186.0	52593.4	
9185.5	52591.0	
9185.0	52578.1	
9184.5	52563.5	
9184.0	52562.1	
9183.5	52575.3	
9183.0	52575.7	
9182.5	52567.4	
9182.0	52550.8	
9181.5	52532.8	
9181.0	52523.4	
9180.5	52524.8	
9180.0	52525.4	
9179.5	52530.2	
9179.0	52544.8	
9178.5	52548.4	
9178.0	52555.5	
9177.5	52574.8	
9177.0	52615.8	
9176.5	52643.7	
9176.0	52635.6	
9175.5	52628.8	
9175.0	52615.8	
9174.5	52606.2	
9174.0	52601.7	
9173.5	52603.6	
9173.0	52600.0	
9172.5	52592.5	
